City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Darhan,MN,49.4867,105.9228,39.74,74,64,12.68,broken clouds
258,Aras,ES,42.5617,-2.356,53.6,76,20,5.75,few clouds
259,Broken Hill,AU,-31.95,141.4333,66.2,52,87,18.41,overcast clouds
260,Shahpur,IN,16.7,76.8333,85.73,30,95,6.85,overcast clouds
261,Ostrovnoy,RU,68.0531,39.5131,33.76,98,100,7.43,light snow
262,Gaoyou,CN,32.7858,119.4278,51.06,48,0,4.92,clear sky
263,Ustka,PL,54.5805,16.8619,37.69,75,44,19.26,scattered clouds
264,Mandal,IN,25.45,74.5667,72.68,15,1,6.73,clear sky
265,Richards Bay,ZA,-28.783,32.0377,69.06,89,44,5.88,scattered clouds
266,Mahebourg,MU,-20.4081,57.7,77.0,83,40,6.91,scattered clouds
267,Leonding,AT,48.2799,14.2547,30.0,93,8,5.75,clear sky
268,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,0,6.91,clear sky
269,Zhangye,CN,38.9342,100.4517,46.76,64,100,18.34,overcast clouds
270,Fort Nelson,CA,58.8053,-122.7002,32.0,47,75,10.36,broken clouds
271,Glebychevo,RU,60.4387,28.7183,30.0,81,38,8.97,scattered clouds
272,Belyy Yar,RU,53.6039,91.3903,32.0,100,100,2.24,overcast clouds
273,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,11.5,scattered clouds
274,Iquitos,PE,-3.7481,-73.2472,86.0,70,20,4.61,few clouds
275,Vilyuysk,RU,63.7553,121.6247,16.72,91,100,8.86,overcast clouds
276,Halifax,CA,44.6453,-63.5724,51.8,62,32,10.36,scattered clouds
277,Luderitz,NA,-26.6481,15.1594,71.29,54,0,8.95,clear sky
278,Podporozhye,RU,60.9112,34.1706,26.64,92,43,7.36,scattered clouds
279,Orbetello,IT,42.4408,11.2196,35.6,87,0,6.91,clear sky
280,Monywa,MM,22.1167,95.1333,83.95,44,46,4.14,scattered clouds
281,Avera,US,33.194,-82.5271,73.4,56,40,7.09,scattered clouds
282,Kandrian,PG,-6.2167,149.55,79.56,84,100,10.0,overcast clouds
283,Mehamn,NO,71.0357,27.8492,27.5,76,86,6.2,overcast clouds
284,Port Macquarie,AU,-31.4333,152.9167,75.99,65,18,1.99,few clouds
285,Palmer,US,42.1584,-72.3287,69.8,32,40,5.75,scattered clouds
286,Athabasca,CA,54.7169,-113.2854,41.0,41,69,16.11,broken clouds
287,Sens,FR,48.1667,3.3333,35.01,77,100,4.45,overcast clouds
288,Huarmey,PE,-10.0681,-78.1522,70.9,85,63,7.96,broken clouds
289,Caravelas,BR,-17.7125,-39.2481,76.57,72,96,11.72,overcast clouds
290,Lagoa,PT,39.05,-27.9833,58.8,87,9,14.94,clear sky
291,Moberly,US,39.4184,-92.4382,50.0,81,90,13.8,light rain
292,Hailar,CN,49.2,119.7,44.02,34,85,9.24,overcast clouds
293,Matagami,CA,49.7502,-77.6328,46.4,93,90,5.75,overcast clouds
294,Namibe,AO,-15.1961,12.1522,79.65,66,95,9.82,overcast clouds
295,Awjilah,LY,29.1081,21.2869,66.47,22,21,12.91,few clouds
296,Calvinia,ZA,-31.4707,19.776,67.77,27,32,3.36,scattered clouds
297,Omoa,HN,15.7667,-88.0333,86.0,70,20,14.97,few clouds
298,Camocim,BR,-2.9022,-40.8411,79.38,82,100,13.65,overcast clouds
299,Beyneu,KZ,45.3167,55.2,55.98,50,0,12.68,clear sky
300,Southbridge,US,42.0751,-72.0334,60.8,51,1,8.05,clear sky
301,Rawson,AR,-43.3002,-65.1023,62.37,54,84,10.22,broken clouds
302,Neiafu,TO,-18.65,-173.9833,82.4,65,40,4.61,scattered clouds
303,Dicabisagan,PH,17.0818,122.4157,74.86,89,96,6.67,overcast clouds
