City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Hot Springs,US,2021-04-08 00:40:17,34.5037,-93.0552,69.8,78,90,5.75
212,Hamilton,US,2021-04-08 00:35:26,39.1834,-84.5333,75.2,46,40,4.61
213,Belmonte,BR,2021-04-08 00:34:35,-15.8631,-38.8828,75.2,83,75,4.61
214,Neuruppin,DE,2021-04-08 00:40:17,52.9282,12.8031,37.0,88,100,5.01
215,Vanavara,RU,2021-04-08 00:40:18,60.34,102.2797,29.35,91,100,4.9
216,Thompson,CA,2021-04-08 00:29:49,55.7435,-97.8558,46.4,46,20,9.22
217,Ambon,ID,2021-04-08 00:35:24,-3.6954,128.1814,84.2,79,20,3.44
218,Naze,JP,2021-04-08 00:34:07,28.3667,129.4833,71.6,53,75,10.36
219,Mucuri,BR,2021-04-08 00:40:19,-18.0864,-39.5508,75.38,80,100,12.21
220,Mahebourg,MU,2021-04-08 00:34:25,-20.4081,57.7,77.0,88,75,12.66
221,Tasiilaq,GL,2021-04-08 00:33:49,65.6145,-37.6368,15.8,67,8,2.3
222,Benjamin Hill,MX,2021-04-08 00:40:19,30.1667,-111.1,90.0,25,17,7.0
223,Kavaratti,IN,2021-04-08 00:40:20,10.5669,72.642,83.19,73,68,9.86
224,Pacific Grove,US,2021-04-08 00:33:21,36.6177,-121.9166,59.0,58,1,10.36
225,Sangerhausen,DE,2021-04-08 00:36:49,51.4667,11.3,35.01,79,98,11.01
226,Komsomolskiy,UZ,2021-04-08 00:34:13,40.4272,71.7189,46.4,66,0,6.91
227,Faanui,PF,2021-04-08 00:34:19,-16.4833,-151.75,81.36,68,62,13.24
228,Solnechnyy,RU,2021-04-08 00:40:21,50.7214,136.6319,27.23,87,100,8.41
229,Kangaatsiaq,GL,2021-04-08 00:40:21,68.3065,-53.4641,22.41,83,100,17.83
230,Sao Joao Da Barra,BR,2021-04-08 00:35:27,-21.6403,-41.0511,71.55,80,13,4.05
231,Greenfield,US,2021-04-08 00:40:21,42.9614,-88.0126,64.0,77,75,6.91
232,Yumen,CN,2021-04-08 00:34:45,40.2833,97.2,48.42,25,100,10.07
233,Funadhoo,MV,2021-04-08 00:40:22,6.15,73.2667,82.2,75,14,7.72
234,Ranau,MY,2021-04-08 00:40:22,5.9538,116.6641,80.6,78,20,4.61
235,Nanortalik,GL,2021-04-08 00:34:11,60.1432,-45.2371,35.64,86,100,5.06
236,Sirajganj,BD,2021-04-08 00:40:23,24.45,89.7167,77.09,80,5,15.48
237,Nicoya,CR,2021-04-08 00:40:23,10.1483,-85.452,84.2,58,40,5.75
238,Chapais,CA,2021-04-08 00:40:23,49.7834,-74.8492,50.0,66,1,3.44
239,Dimitrovgrad,RU,2021-04-08 00:40:24,54.2139,49.6184,39.2,87,90,11.18
240,Olafsvik,IS,2021-04-08 00:40:24,64.8945,-23.7142,27.64,75,100,43.71
241,Limbe,CM,2021-04-08 00:40:24,4.0242,9.2149,82.4,100,75,1.99
242,Tarakan,ID,2021-04-08 00:40:25,3.3,117.6333,79.18,79,96,4.27
243,Port Blair,IN,2021-04-08 00:40:25,11.6667,92.75,81.66,71,43,0.92
244,Mananara,MG,2021-04-08 00:40:25,-16.1667,49.7667,74.89,91,95,5.28
245,Sal Rei,CV,2021-04-08 00:40:25,16.1833,-22.9167,69.8,83,75,17.27
246,Nara,JP,2021-04-08 00:40:26,34.6851,135.8049,60.01,58,0,3.44
247,Airai,TL,2021-04-08 00:34:16,-8.9266,125.4092,68.58,77,100,1.16
248,Boyolangu,ID,2021-04-08 00:40:26,-8.1181,111.8935,79.66,82,89,4.14
249,Khromtau,KZ,2021-04-08 00:40:27,50.2503,58.4347,30.2,93,8,6.51
250,Seydi,TM,2021-04-08 00:40:27,39.4816,62.9137,62.67,30,0,7.31
251,Reconquista,AR,2021-04-08 00:40:27,-29.15,-59.65,70.21,81,41,6.96
252,Manavalakurichi,IN,2021-04-08 00:34:42,8.1333,77.3,80.6,89,20,2.3
253,Axim,GH,2021-04-08 00:34:18,4.8699,-2.2405,80.33,89,47,5.55
254,La Libertad,EC,2021-04-08 00:40:28,-2.2333,-80.9,74.95,81,98,6.76
255,Zhicheng,CN,2021-04-08 00:40:28,30.2956,111.5047,55.99,83,94,5.03
256,Barcelos,PT,2021-04-08 00:40:28,41.5388,-8.6151,57.99,82,0,3.44
257,Grand-Santi,GF,2021-04-08 00:40:29,4.25,-54.3833,71.67,99,100,1.66
258,Jalu,LY,2021-04-08 00:40:29,29.0331,21.5482,62.62,32,14,8.61
259,Douglas,US,2021-04-08 00:38:02,41.3,-96.167,51.01,87,90,18.41
260,Celle,DE,2021-04-08 00:40:29,52.6226,10.0805,34.0,86,21,11.5
261,Kirakira,SB,2021-04-08 00:35:46,-10.4544,161.9205,84.4,70,100,11.65
262,Porto Novo,BJ,2021-04-08 00:40:30,6.4965,2.6036,84.2,84,40,12.66
263,Nizhnyaya Tavda,RU,2021-04-08 00:40:30,57.6731,66.1725,33.12,87,29,8.52
264,Akkermanovka,RU,2021-04-08 00:40:31,51.2467,58.2391,33.8,93,90,6.71
265,Hasaki,JP,2021-04-08 00:34:05,35.7333,140.8333,59.0,87,40,4.61
266,Bengkulu,ID,2021-04-08 00:31:22,-3.8004,102.2655,77.49,81,96,3.36
267,Turayf,SA,2021-04-08 00:35:50,31.6725,38.6637,60.8,36,0,11.5
268,Pangnirtung,CA,2021-04-08 00:33:46,66.1451,-65.7125,30.04,95,100,9.06
269,Okmulgee,US,2021-04-08 00:40:32,35.6234,-95.9605,55.4,50,90,14.97
270,Gat,IL,2021-04-08 00:40:03,31.61,34.7642,62.01,55,0,3.44
271,Zenzeli,RU,2021-04-08 00:40:32,45.9241,47.0474,46.2,67,1,7.23
272,Quatre Cocos,MU,2021-04-08 00:40:32,-20.2078,57.7625,80.01,88,75,12.66
